Glb_cost, Shm_cost, l2_cost, Reg_cost, PE_cost, Clk_cost, Static_cost
100, 6, 20, 2, 1, 1, 150

vgg16, , , , , , , , , , , , , , vgg16
conv/fc, m_n_k, cycle, inst, l1d_cache_access, l1c_cache_access, l2cache_access, mem_read_global, mem_write_global, fp_access, sp_access, reg_read, reg_write, shared_mem_access, Glb, Shm, Reg, PE, Clk, Glb_energy, Shm_energy, Reg_energy, PE_energy, Clk_energy
[1  64  56  56] [256  64  1  1] [1  256  56  56] [1  1] [0  0] 8 0 , 200704_256_32, 493728.0, 710246400.0, 8028160.0, 0.0, 7266304.0, 843776.0, 6422528.0, 26492928.0, 1091026944.0, 1550237696.0, 789105696.0, 1779712.0, 7266304.0, 9807872.0, 73104481, 34922496, 493728.0, 726630400.0, 204173312.0, 146208962, 34922496, 493728.0, 
[1  256  56  56] [64  256  1  1] [1  64  56  56] [1  1] [0  0] 8 0 , 200704_64_128, 295780.0, 481845248.0, 4014080.0, 0.0, 3252224.0, 1646592.0, 1605632.0, 26091520.0, 699654144.0, 1206632448.0, 675012032.0, 1276128.0, 3252224.0, 5290208.0, 58801390, 22679552, 295780.0, 325222400.0, 96785728.0, 117602780, 22679552, 295780.0, 
[1  64  56  56] [64  64  3  3] [1  64  56  56] [1  1] [1  1] 8 0 , 200704_64_288, 608537.0, 836935680.0, 7024640.0, 0.0, 7024640.0, 5419008.0, 1605632.0, 64626688.0, 1182547968.0, 2537299968.0, 1518251456.0, 2475744.0, 7024640.0, 9500384.0, 126735982, 38974208, 608537.0, 702464000.0, 197495104.0, 253471964, 38974208, 608537.0, 
[1  64  56  56] [256  64  1  1] [1  256  56  56] [1  1] [0  0] 8 0 , 200704_256_32, 493728.0, 710246400.0, 8028160.0, 0.0, 7266304.0, 843776.0, 6422528.0, 26492928.0, 1091026944.0, 1550237696.0, 789105696.0, 1779712.0, 7266304.0, 9807872.0, 73104481, 34922496, 493728.0, 726630400.0, 204173312.0, 146208962, 34922496, 493728.0, 
[1  256  56  56] [64  256  1  1] [1  64  56  56] [1  1] [0  0] 8 0 , 200704_64_128, 295780.0, 481845248.0, 4014080.0, 0.0, 3252224.0, 1646592.0, 1605632.0, 26091520.0, 699654144.0, 1206632448.0, 675012032.0, 1276128.0, 3252224.0, 5290208.0, 58801390, 22679552, 295780.0, 325222400.0, 96785728.0, 117602780, 22679552, 295780.0, 
[1  64  56  56] [64  64  3  3] [1  64  56  56] [1  1] [1  1] 8 0 , 200704_64_288, 608537.0, 836935680.0, 7024640.0, 0.0, 7024640.0, 5419008.0, 1605632.0, 64626688.0, 1182547968.0, 2537299968.0, 1518251456.0, 2475744.0, 7024640.0, 9500384.0, 126735982, 38974208, 608537.0, 702464000.0, 197495104.0, 253471964, 38974208, 608537.0, 
[1  64  56  56] [256  64  1  1] [1  256  56  56] [1  1] [0  0] 8 0 , 200704_256_32, 493728.0, 710246400.0, 8028160.0, 0.0, 7266304.0, 843776.0, 6422528.0, 26492928.0, 1091026944.0, 1550237696.0, 789105696.0, 1779712.0, 7266304.0, 9807872.0, 73104481, 34922496, 493728.0, 726630400.0, 204173312.0, 146208962, 34922496, 493728.0, 
[1  256  56  56] [128  256  1  1] [1  128  56  56] [1  1] [0  0] 8 0 , 200704_128_128, 342638.0, 495467008.0, 6422528.0, 0.0, 5191036.0, 1979772.0, 3211264.0, 26091520.0, 723337216.0, 1236336640.0, 727225504.0, 1290240.0, 5191036.0, 7712768.0, 61361317, 23419648, 342638.0, 519103600.0, 150097328.0, 122722634, 23419648, 342638.0, 
[1  128  56  56] [128  128  3  3] [1  128  28  28] [2  2] [1  1] 8 0 , 50176_128_576, 291314.0, 332165120.0, 4415488.0, 0.0, 4415488.0, 3612672.0, 802816.0, 29001728.0, 462522368.0, 1086711808.0, 789865728.0, 1024896.0, 4415488.0, 5440384.0, 58643048, 15360128, 291314.0, 441548800.0, 120952064.0, 117286096, 15360128, 291314.0, 
[1  128  28  28] [512  128  1  1] [1  512  28  28] [1  1] [0  0] 8 0 , 50176_512_64, 240900.0, 357072896.0, 4816896.0, 0.0, 4177920.0, 966656.0, 3211264.0, 13246464.0, 546316288.0, 775520256.0, 464188224.0, 891264.0, 4177920.0, 5708160.0, 38740890, 17486336, 240900.0, 417792000.0, 117807360.0, 77481780, 17486336, 240900.0, 
[1  256  56  56] [512  256  1  1] [1  512  28  28] [2  2] [0  0] 8 0 , 50176_512_128, 342285.0, 494692864.0, 6422528.0, 0.0, 5328024.0, 2116760.0, 3211264.0, 26091520.0, 723337216.0, 1236336640.0, 744752256.0, 1286144.0, 5328024.0, 7708672.0, 61909028, 23419648, 342285.0, 532802400.0, 152812512.0, 123818056, 23419648, 342285.0, 
