Glb_cost, Shm_cost, l2_cost, Reg_cost, PE_cost, Clk_cost, Static_cost
100, 6, 20, 2, 1, 1, 150

vgg16, , , , , , , , , , , , , , vgg16
conv/fc, m_n_k, cycle, inst, l1d_cache_access, l1c_cache_access, l2cache_access, mem_read_global, mem_write_global, fp_access, sp_access, reg_read, reg_write, shared_mem_access, Glb, Shm, Reg, PE, Clk, Glb_energy, Shm_energy, Reg_energy, PE_energy, Clk_energy
[1  64  56  56] [256  64  1  1] [1  256  56  56] [1  1] [0  0] 4 0 , 200704_256_16, 503831.0, 707559424.0, 7225344.0, 0.0, 6844416.0, 421888.0, 6422528.0, 26492928.0, 1091026944.0, 1550237696.0, 735299808.0, 1765632.0, 6844416.0, 8990976.0, 71423047, 34922496, 503831.0, 684441600.0, 190834176.0, 142846094, 34922496, 503831.0, 
[1  256  56  56] [64  256  1  1] [1  64  56  56] [1  1] [0  0] 4 0 , 200704_64_64, 189100.0, 344285184.0, 2809856.0, 0.0, 2428928.0, 823296.0, 1605632.0, 13246464.0, 522633216.0, 746618880.0, 435058816.0, 872384.0, 2428928.0, 3682240.0, 36927428, 16746240, 189100.0, 242892800.0, 70672000.0, 73854856, 16746240, 189100.0, 
[1  64  56  56] [64  64  3  3] [1  64  56  56] [1  1] [1  1] 4 0 , 200704_64_144, 396239.0, 599253168.0, 4315136.0, 0.0, 3576412.0, 1970780.0, 1605632.0, 38936576.0, 860618752.0, 1650188288.0, 839969056.0, 1667968.0, 3576412.0, 5983104.0, 77817417, 28111104, 396239.0, 357641200.0, 107426864.0, 155634834, 28111104, 396239.0, 
[1  64  56  56] [256  64  1  1] [1  256  56  56] [1  1] [0  0] 4 0 , 200704_256_16, 503831.0, 707559424.0, 7225344.0, 0.0, 6844416.0, 421888.0, 6422528.0, 26492928.0, 1091026944.0, 1550237696.0, 735299808.0, 1765632.0, 6844416.0, 8990976.0, 71423047, 34922496, 503831.0, 684441600.0, 190834176.0, 142846094, 34922496, 503831.0, 
[1  256  56  56] [64  256  1  1] [1  64  56  56] [1  1] [0  0] 4 0 , 200704_64_64, 189100.0, 344285184.0, 2809856.0, 0.0, 2428928.0, 823296.0, 1605632.0, 13246464.0, 522633216.0, 746618880.0, 435058816.0, 872384.0, 2428928.0, 3682240.0, 36927428, 16746240, 189100.0, 242892800.0, 70672000.0, 73854856, 16746240, 189100.0, 
[1  64  56  56] [64  64  3  3] [1  64  56  56] [1  1] [1  1] 4 0 , 200704_64_144, 396239.0, 599253168.0, 4315136.0, 0.0, 3576412.0, 1970780.0, 1605632.0, 38936576.0, 860618752.0, 1650188288.0, 839969056.0, 1667968.0, 3576412.0, 5983104.0, 77817417, 28111104, 396239.0, 357641200.0, 107426864.0, 155634834, 28111104, 396239.0, 
[1  64  56  56] [256  64  1  1] [1  256  56  56] [1  1] [0  0] 4 0 , 200704_256_16, 503831.0, 707559424.0, 7225344.0, 0.0, 6844416.0, 421888.0, 6422528.0, 26492928.0, 1091026944.0, 1550237696.0, 735299808.0, 1765632.0, 6844416.0, 8990976.0, 71423047, 34922496, 503831.0, 684441600.0, 190834176.0, 142846094, 34922496, 503831.0, 
[1  256  56  56] [128  256  1  1] [1  128  56  56] [1  1] [0  0] 4 0 , 200704_128_64, 236719.0, 357810176.0, 4816896.0, 0.0, 4055040.0, 843776.0, 3211264.0, 13246464.0, 546316288.0, 775520256.0, 448408640.0, 894080.0, 4055040.0, 5710976.0, 38247778, 17486336, 236719.0, 405504000.0, 115366656.0, 76495556, 17486336, 236719.0, 
[1  128  56  56] [128  128  3  3] [1  128  28  28] [2  2] [1  1] 4 0 , 50176_128_288, 180965.0, 212043776.0, 2609152.0, 0.0, 2609152.0, 1806336.0, 802816.0, 16156672.0, 301557760.0, 642353152.0, 440210272.0, 622976.0, 2609152.0, 3232128.0, 33830107, 9928576, 180965.0, 260915200.0, 71575808.0, 67660214, 9928576, 180965.0, 
[1  128  28  28] [512  128  1  1] [1  512  28  28] [1  1] [0  0] 4 0 , 50176_512_32, 250349.0, 354788352.0, 4014080.0, 0.0, 3688960.0, 477696.0, 3211264.0, 13246464.0, 545513472.0, 775118848.0, 401599936.0, 901120.0, 3688960.0, 4915200.0, 36772462, 17461248, 250349.0, 368896000.0, 103270400.0, 73544924, 17461248, 250349.0, 
[1  256  56  56] [512  256  1  1] [1  512  28  28] [2  2] [0  0] 4 0 , 50176_512_64, 240900.0, 357072896.0, 4816896.0, 0.0, 4177920.0, 966656.0, 3211264.0, 13246464.0, 546316288.0, 775520256.0, 464188224.0, 891264.0, 4177920.0, 5708160.0, 38740890, 17486336, 240900.0, 417792000.0, 117807360.0, 77481780, 17486336, 240900.0, 
[1  512  28  28] [128  512  1  1] [1  128  28  28] [1  1] [0  0] 4 0 , 50176_128_128, 95355.0, 123740800.0, 1605632.0, 0.0, 1324888.0, 522072.0, 802816.0, 6522880.0, 180834304.0, 309084160.0, 185802816.0, 323584.0, 1324888.0, 1929216.0, 15465218, 5854912, 95355.0, 132488800.0, 38073056.0, 30930436, 5854912, 95355.0, 
[1  128  28  28] [128  128  3  3] [1  128  28  28] [1  1] [1  1] 4 0 , 50176_128_288, 180965.0, 212043776.0, 2609152.0, 0.0, 2609152.0, 1806336.0, 802816.0, 16156672.0, 301557760.0, 642353152.0, 440210272.0, 622976.0, 2609152.0, 3232128.0, 33830107, 9928576, 180965.0, 260915200.0, 71575808.0, 67660214, 9928576, 180965.0, 
[1  128  28  28] [512  128  1  1] [1  512  28  28] [1  1] [0  0] 4 0 , 50176_512_32, 250349.0, 354788352.0, 4014080.0, 0.0, 3688960.0, 477696.0, 3211264.0, 13246464.0, 545513472.0, 775118848.0, 401599936.0, 901120.0, 3688960.0, 4915200.0, 36772462, 17461248, 250349.0, 368896000.0, 103270400.0, 73544924, 17461248, 250349.0, 
[1  512  28  28] [128  512  1  1] [1  128  28  28] [1  1] [0  0] 4 0 , 50176_128_128, 95355.0, 123740800.0, 1605632.0, 0.0, 1324888.0, 522072.0, 802816.0, 6522880.0, 180834304.0, 309084160.0, 185802816.0, 323584.0, 1324888.0, 1929216.0, 15465218, 5854912, 95355.0, 132488800.0, 38073056.0, 30930436, 5854912, 95355.0, 
[1  128  28  28] [128  128  3  3] [1  128  28  28] [1  1] [1  1] 4 0 , 50176_128_288, 180965.0, 212043776.0, 2609152.0, 0.0, 2609152.0, 1806336.0, 802816.0, 16156672.0, 301557760.0, 642353152.0, 440210272.0, 622976.0, 2609152.0, 3232128.0, 33830107, 9928576, 180965.0, 260915200.0, 71575808.0, 67660214, 9928576, 180965.0, 
[1  128  28  28] [512  128  1  1] [1  512  28  28] [1  1] [0  0] 4 0 , 50176_512_32, 250349.0, 354788352.0, 4014080.0, 0.0, 3688960.0, 477696.0, 3211264.0, 13246464.0, 545513472.0, 775118848.0, 401599936.0, 901120.0, 3688960.0, 4915200.0, 36772462, 17461248, 250349.0, 368896000.0, 103270400.0, 73544924, 17461248, 250349.0, 
[1  512  28  28] [128  512  1  1] [1  128  28  28] [1  1] [0  0] 4 0 , 50176_128_128, 95355.0, 123740800.0, 1605632.0, 0.0, 1324888.0, 522072.0, 802816.0, 6522880.0, 180834304.0, 309084160.0, 185802816.0, 323584.0, 1324888.0, 1929216.0, 15465218, 5854912, 95355.0, 132488800.0, 38073056.0, 30930436, 5854912, 95355.0, 
